{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7098  0.4185  0.5000
  -4.583 -4.013  5  10  245    0.7595  0.2704  0.2816
  -4.013 -3.839  5  10  292    0.7749  0.2963  0.5000
  -3.839 -3.489  5  10  414    0.9052  0.0920  0.0890
  -3.489 -3.314  5  10  493    0.9841  0.0047 -0.0070
  -3.314 -3.139  5  10  588    0.9832  0.0216  0.0359
  -3.139 -2.964  5  10  700    0.9463  0.0575  0.2230
  -2.964 -2.853  5  10  781    0.8982  0.0988  0.2045
  -2.853 -2.650  5  10  956    0.9021  0.0881  0.1345
  -2.650 -2.500  5  10 1108    0.9275  0.0599  0.0504
  -2.500 -2.322  5  10 1321    0.9593  0.0479  0.0575
  -2.322 -2.172  5  10 1529    0.9875  0.0084 -0.0847
  -2.172 -1.930  5  10 1933    0.9881  0.0135 -0.0573
  -1.930 -1.653  5  10 2511    1.0000  0.0113 -0.0899
  -1.653 -1.479  5  10 2946    0.9936  0.0195 -0.0551
  -1.479 -1.305  5  10 3435    1.0086  0.0122 -0.0400
  -1.305 -1.044  5  10 4259    1.0108 -0.0188 -0.1007
  -1.044 -0.783  5  10 5141    1.0016 -0.0044 -0.0146
  -0.783 -0.522  5  10 5968    1.0005  0.0015  0.0081
  -0.522 -0.261  5  10 6574    1.0018  0.0023  0.0089
  -0.261 -0.000  5  10 6800    0.9953  0.0035  0.0229
  +0.000 +0.261  5  10 6800    0.9953  0.0035  0.0229
  +0.261 +0.522  5  10 6574    1.0018  0.0023  0.0089
  +0.522 +0.783  5  10 5968    1.0005  0.0015  0.0081
  +0.783 +1.044  5  10 5141    1.0016 -0.0044 -0.0146
  +1.044 +1.305  5  10 4259    1.0108 -0.0188 -0.1007
  +1.305 +1.479  5  10 3435    1.0086  0.0122 -0.0400
  +1.479 +1.653  5  10 2946    0.9936  0.0195 -0.0551
  +1.653 +1.930  5  10 2511    1.0000  0.0113 -0.0899
  +1.930 +2.172  5  10 1933    0.9881  0.0135 -0.0573
  +2.172 +2.322  5  10 1529    0.9875  0.0084 -0.0847
  +2.322 +2.500  5  10 1321    0.9593  0.0479  0.0575
  +2.500 +2.650  5  10 1108    0.9275  0.0599  0.0504
  +2.650 +2.853  5  10  956    0.9021  0.0881  0.1345
  +2.853 +2.964  5  10  781    0.8982  0.0988  0.2045
  +2.964 +3.139  5  10  700    0.9463  0.0575  0.2230
  +3.139 +3.314  5  10  588    0.9832  0.0216  0.0359
  +3.314 +3.489  5  10  493    0.9841  0.0047 -0.0070
  +3.489 +3.839  5  10  414    0.9052  0.0920  0.0890
  +3.839 +4.013  5  10  292    0.7749  0.2963  0.5000
  +4.013 +4.583  5  10  245    0.7595  0.2704  0.2816
  +4.583 +5.191  5  10  139    0.7098  0.4185  0.5000
