{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6256  0.3285  0.3857
  -4.583 -4.013  5  10  245    0.7491  0.1927 -0.0418
  -4.013 -3.839  5  10  292    0.7604  0.1984  0.2207
  -3.839 -3.489  5  10  414    0.8587  0.0993  0.0969
  -3.489 -3.314  5  10  493    0.9199  0.0371  0.0837
  -3.314 -3.139  5  10  588    0.9354  0.0191  0.0861
  -3.139 -2.964  5  10  700    0.8932  0.0771  0.3162
  -2.964 -2.853  5  10  781    0.8595  0.1006  0.2357
  -2.853 -2.650  5  10  956    0.8717  0.0772  0.1194
  -2.650 -2.500  5  10 1108    0.8892  0.0541  0.0593
  -2.500 -2.322  5  10 1321    0.9160  0.0436  0.0893
  -2.322 -2.172  5  10 1529    0.9407  0.0101 -0.0461
  -2.172 -1.930  5  10 1933    0.9583  0.0045 -0.0937
  -1.930 -1.653  5  10 2511    0.9573  0.0099 -0.0823
  -1.653 -1.479  5  10 2946    0.9546  0.0041 -0.0488
  -1.479 -1.305  5  10 3435    0.9872  0.0102 -0.0396
  -1.305 -1.044  5  10 4259    1.0103 -0.0116 -0.0732
  -1.044 -0.783  5  10 5141    0.9978 -0.0031 -0.0029
  -0.783 -0.522  5  10 5968    1.0017 -0.0043 -0.0084
  -0.522 -0.261  5  10 6574    1.0011 -0.0000 -0.0020
  -0.261 -0.000  5  10 6800    0.9979  0.0071  0.0330
  +0.000 +0.261  5  10 6800    0.9979  0.0071  0.0330
  +0.261 +0.522  5  10 6574    1.0011 -0.0000 -0.0020
  +0.522 +0.783  5  10 5968    1.0017 -0.0043 -0.0084
  +0.783 +1.044  5  10 5141    0.9978 -0.0031 -0.0029
  +1.044 +1.305  5  10 4259    1.0103 -0.0116 -0.0732
  +1.305 +1.479  5  10 3435    0.9872  0.0102 -0.0396
  +1.479 +1.653  5  10 2946    0.9546  0.0041 -0.0488
  +1.653 +1.930  5  10 2511    0.9573  0.0099 -0.0823
  +1.930 +2.172  5  10 1933    0.9583  0.0045 -0.0937
  +2.172 +2.322  5  10 1529    0.9407  0.0101 -0.0461
  +2.322 +2.500  5  10 1321    0.9160  0.0436  0.0893
  +2.500 +2.650  5  10 1108    0.8892  0.0541  0.0593
  +2.650 +2.853  5  10  956    0.8717  0.0772  0.1194
  +2.853 +2.964  5  10  781    0.8595  0.1006  0.2357
  +2.964 +3.139  5  10  700    0.8932  0.0771  0.3162
  +3.139 +3.314  5  10  588    0.9354  0.0191  0.0861
  +3.314 +3.489  5  10  493    0.9199  0.0371  0.0837
  +3.489 +3.839  5  10  414    0.8587  0.0993  0.0969
  +3.839 +4.013  5  10  292    0.7604  0.1984  0.2207
  +4.013 +4.583  5  10  245    0.7491  0.1927 -0.0418
  +4.583 +5.191  5  10  139    0.6256  0.3285  0.3857
