{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  11  124    1.0026  0.0410  0.1627 -0.1057
  -4.889 -4.716  6  14  139    1.0495 -0.1769  0.4639 -1.3069
  -4.716 -4.538  6  10  171    0.9516  0.0965  0.1190  0.0062
  -4.538 -4.363  6  11  195    0.9363  0.0391  0.2631 -0.3074
  -4.363 -4.191  6  9  217    0.9186 -0.0895 -0.0920 -0.0130
  -4.191 -4.013  6  9  272    0.9398 -0.0331 -0.0620 -0.0043
  -4.013 -3.839  6  10  333    0.9253  0.0456  0.1494 -0.0655
  -3.839 -3.664  6  11  398    0.9324  0.0289  0.1471 -0.0163
  -3.664 -3.489  6  10  475    0.9380  0.0227  0.1016 -0.0013
  -3.489 -3.314  6  10  582    0.9546  0.0355  0.0786 -0.0006
  -3.314 -3.139  6  10  700    0.9486  0.0510  0.0855  0.0012
  -3.139 -2.964  6  12  806    0.9049  0.0605  0.3505 -0.2896
  -2.964 -2.853  6  11  820    0.8018  0.0805  0.3386 -0.3841
  -2.853 -2.650  6  2 1004    0.7991  0.0825 -0.2303 -0.2072
  -2.650 -2.500  6  6 1264    0.8405  0.1004 -0.0963 -0.0476
  -2.500 -2.322  6  4 1535    0.9378  0.0293 -0.3173 -0.2866
  -2.322 -2.172  6  5 1843    0.9877  0.0156 -0.3403 -0.3002
  -2.172 -2.043  6  5 2061    0.9815  0.0088 -0.3016 -0.2342
  -2.043 -1.930  6  5 2292    0.9882  0.0012 -0.3268 -0.2670
  -1.930 -1.830  6  7 2530    0.9603  0.0224 -0.2163 -0.1329
  -1.830 -1.740  6  6 2775    0.9697  0.0207 -0.2657 -0.1879
  -1.740 -1.653  6  7 3029    0.9602  0.0304 -0.2056 -0.1225
  -1.653 -1.566  6  7 3281    0.9499  0.0363 -0.1421 -0.0578
  -1.566 -1.479  6  8 3390    0.9432  0.0107 -0.1193 -0.0340
  -1.479 -1.392  6  9 3786    0.9518  0.0249 -0.0548 -0.0067
  -1.392 -1.305  6  10 4367    0.9660  0.0571  0.0276  0.0035
  -1.305 -1.218  6  10 4717    0.9757  0.0521  0.0145  0.0026
  -1.218 -1.131  6  10 4920    0.9704  0.0363  0.0634 -0.0002
  -1.131 -1.044  6  10 5150    0.9793  0.0165  0.0097  0.0004
  -1.044 -0.957  6  10 5514    0.9838  0.0149  0.0043  0.0004
  -0.957 -0.879  6  10 5785    0.9874  0.0078  0.0019  0.0001
  -0.879 -0.783  6  10 6180    0.9927  0.0051  0.0058  0.0000
  -0.783 -0.696  6  10 6663    0.9945  0.0153  0.0491  0.0003
  -0.696 -0.609  6  10 6824    1.0047 -0.0046 -0.0079 -0.0000
  -0.609 -0.522  6  10 7113    1.0051 -0.0064  0.0148  0.0004
  -0.522 -0.435  6  10 7393    1.0116 -0.0099 -0.0304 -0.0001
  -0.435 -0.348  6  10 7623    1.0160 -0.0130 -0.0227 -0.0000
  -0.348 -0.261  6  11 7736    1.0108 -0.0159  0.0031  0.0005
  -0.261 -0.174  6  11 7868    1.0116 -0.0172  0.0036  0.0006
  -0.174 -0.087  6  11 8124    1.0088 -0.0050  0.0390  0.0013
  -0.087 -0.000  6  11 7865    1.0119 -0.0252 -0.0072  0.0007
  +0.000 +0.087  6  11 7865    1.0119 -0.0252 -0.0072  0.0007
  +0.087 +0.174  6  11 8124    1.0088 -0.0050  0.0390  0.0013
  +0.174 +0.261  6  11 7868    1.0116 -0.0172  0.0036  0.0006
  +0.261 +0.348  6  11 7736    1.0108 -0.0159  0.0031  0.0005
  +0.348 +0.435  6  10 7623    1.0160 -0.0130 -0.0227 -0.0000
  +0.435 +0.522  6  10 7393    1.0116 -0.0099 -0.0304 -0.0001
  +0.522 +0.609  6  10 7113    1.0051 -0.0064  0.0148  0.0004
  +0.609 +0.696  6  10 6824    1.0047 -0.0046 -0.0079 -0.0000
  +0.696 +0.783  6  10 6663    0.9945  0.0153  0.0491  0.0003
  +0.783 +0.879  6  10 6180    0.9927  0.0051  0.0058  0.0000
  +0.879 +0.957  6  10 5785    0.9874  0.0078  0.0019  0.0001
  +0.957 +1.044  6  10 5514    0.9838  0.0149  0.0043  0.0004
  +1.044 +1.131  6  10 5150    0.9793  0.0165  0.0097  0.0004
  +1.131 +1.218  6  10 4920    0.9704  0.0363  0.0634 -0.0002
  +1.218 +1.305  6  10 4717    0.9757  0.0521  0.0145  0.0026
  +1.305 +1.392  6  10 4367    0.9660  0.0571  0.0276  0.0035
  +1.392 +1.479  6  9 3786    0.9518  0.0249 -0.0548 -0.0067
