{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  13  139    1.1346  0.1483  0.3370 -0.5863
  -4.889 -4.716  6  13  162    1.1289  0.0902  0.4035 -0.8451
  -4.716 -4.538  6  13  177    1.0383 -0.0331  0.3812 -0.5239
  -4.538 -4.363  6  12  223    1.0466  0.1374  0.3868 -0.6840
  -4.363 -4.191  6  13  235    1.0042 -0.0453  0.4928 -0.9579
  -4.191 -4.013  6  11  274    0.9743 -0.0942 -0.0135 -0.0034
  -4.013 -3.839  6  12  339    0.9681 -0.0097  0.1785 -0.0393
  -3.839 -3.664  6  13  436    1.0047  0.0789  0.5055 -0.6628
  -3.664 -3.489  6  11  492    0.9772  0.0161  0.1307 -0.0168
  -3.489 -3.314  6  11  604    0.9907  0.0363  0.1786 -0.0670
  -3.314 -3.139  6  12  717    0.9676  0.0566  0.3284 -0.2264
  -3.139 -2.964  6  13  831    0.9335  0.0649  0.5241 -0.5949
  -2.964 -2.853  6  5  836    0.7969  0.1043 -0.0893 -0.0474
  -2.853 -2.650  6  10 1010    0.7942  0.0851  0.2231 -0.1495
  -2.650 -2.500  6  9 1248    0.8179  0.1090  0.1341 -0.0385
  -2.500 -2.322  6  9 1573    0.9043  0.0735  0.0773 -0.0080
  -2.322 -2.172  6  7 1835    0.9946  0.0055 -0.2587 -0.1659
  -2.172 -2.043  6  8 2052    0.9837  0.0030 -0.1644 -0.0564
  -2.043 -1.930  6  8 2339    0.9783  0.0226 -0.1049 -0.0250
  -1.930 -1.830  6  9 2651    0.9744  0.0450 -0.0334  0.0030
  -1.830 -1.740  6  9 2879    0.9784  0.0398 -0.0558 -0.0075
  -1.740 -1.653  6  9 3128    0.9702  0.0456 -0.0048  0.0035
  -1.653 -1.566  6  9 3419    0.9700  0.0501 -0.0045  0.0036
  -1.566 -1.479  6  10 3567    0.9592  0.0322  0.0613 -0.0004
  -1.479 -1.392  6  7 3602    1.0342 -0.0584 -0.3244 -0.1989
  -1.392 -1.305  6  9 3984    1.0128 -0.0283 -0.1711 -0.0367
  -1.305 -1.218  6  9 4332    1.0221 -0.0280 -0.1786 -0.0559
  -1.218 -1.131  6  9 4696    1.0011 -0.0097 -0.0804 -0.0076
  -1.131 -1.044  6  10 4973    0.9986 -0.0150 -0.0471  0.0005
  -1.044 -0.957  6  9 5386    1.0054 -0.0109 -0.0920 -0.0098
  -0.957 -0.879  6  10 5716    0.9997 -0.0060 -0.0419  0.0006
  -0.879 -0.783  6  10 6162    0.9967  0.0012  0.0078 -0.0000
  -0.783 -0.696  6  11 6583    0.9959  0.0078  0.0598  0.0010
  -0.696 -0.609  6  11 6914    1.0017  0.0042  0.0399  0.0007
  -0.609 -0.522  6  10 7130    1.0040 -0.0045 -0.0109 -0.0000
  -0.522 -0.435  6  10 7488    0.9977  0.0044  0.0071 -0.0000
  -0.435 -0.348  6  10 7684    0.9978  0.0008  0.0243  0.0002
  -0.348 -0.261  6  10 7938    1.0012  0.0026  0.0275  0.0003
  -0.261 -0.174  6  10 8196    1.0027  0.0089  0.0224  0.0001
  -0.174 -0.087  6  11 8267    0.9961  0.0108  0.0762  0.0017
  -0.087 -0.000  6  11 8211    0.9927  0.0071  0.0996 -0.0083
  +0.000 +0.087  6  11 8211    0.9927  0.0071  0.0996 -0.0083
  +0.087 +0.174  6  11 8267    0.9961  0.0108  0.0762  0.0017
  +0.174 +0.261  6  10 8196    1.0027  0.0089  0.0224  0.0001
  +0.261 +0.348  6  10 7938    1.0012  0.0026  0.0275  0.0003
  +0.348 +0.435  6  10 7684    0.9978  0.0008  0.0243  0.0002
  +0.435 +0.522  6  10 7488    0.9977  0.0044  0.0071 -0.0000
  +0.522 +0.609  6  10 7130    1.0040 -0.0045 -0.0109 -0.0000
  +0.609 +0.696  6  11 6914    1.0017  0.0042  0.0399  0.0007
  +0.696 +0.783  6  11 6583    0.9959  0.0078  0.0598  0.0010
  +0.783 +0.879  6  10 6162    0.9967  0.0012  0.0078 -0.0000
  +0.879 +0.957  6  10 5716    0.9997 -0.0060 -0.0419  0.0006
  +0.957 +1.044  6  9 5386    1.0054 -0.0109 -0.0920 -0.0098
  +1.044 +1.131  6  10 4973    0.9986 -0.0150 -0.0471  0.0005
  +1.131 +1.218  6  9 4696    1.0011 -0.0097 -0.0804 -0.0076
  +1.218 +1.305  6  9 4332    1.0221 -0.0280 -0.1786 -0.0559
  +1.305 +1.392  6  9 3984    1.0128 -0.0283 -0.1711 -0.0367
  +1.392 +1.479  6  7 3602    1.0342 -0.0584 -0.3244 -0.1989
  +1.479 +1.566  6  10 3567    0.9592  0.0322  0.0613 -0.0004
  +1.566 +1.653  6  9 3419    0.9700  0.0501 -0.0045  0.0036
  +1.653 +1.740  6  9 3128    0.9702  0.0456 -0.0048  0.0035
  +1.740 +1.830  6  9 2879    0.9784  0.0398 -0.0558 -0.0075
  +1.830 +1.930  6  9 2651    0.9744  0.0450 -0.0334  0.0030
  +1.930 +2.043  6  8 2339    0.9783  0.0226 -0.1049 -0.0250
  +2.043 +2.172  6  8 2052    0.9837  0.0030 -0.1644 -0.0564
  +2.172 +2.322  6  7 1835    0.9946  0.0055 -0.2587 -0.1659
  +2.322 +2.500  6  9 1573    0.9043  0.0735  0.0773 -0.0080
  +2.500 +2.650  6  9 1248    0.8179  0.1090  0.1341 -0.0385
  +2.650 +2.853  6  10 1010    0.7942  0.0851  0.2231 -0.1495
  +2.853 +2.964  6  5  836    0.7969  0.1043 -0.0893 -0.0474
  +2.964 +3.139  6  13  831    0.9335  0.0649  0.5241 -0.5949
  +3.139 +3.314  6  12  717    0.9676  0.0566  0.3284 -0.2264
  +3.314 +3.489  6  11  604    0.9907  0.0363  0.1786 -0.0670
  +3.489 +3.664  6  11  492    0.9772  0.0161  0.1307 -0.0168
  +3.664 +3.839  6  13  436    1.0047  0.0789  0.5055 -0.6628
  +3.839 +4.013  6  12  339    0.9681 -0.0097  0.1785 -0.0393
  +4.013 +4.191  6  11  274    0.9743 -0.0942 -0.0135 -0.0034
  +4.191 +4.363  6  13  235    1.0042 -0.0453  0.4928 -0.9579
  +4.363 +4.538  6  12  223    1.0466  0.1374  0.3868 -0.6840
  +4.538 +4.716  6  13  177    1.0383 -0.0331  0.3812 -0.5239
  +4.716 +4.889  6  13  162    1.1289  0.0902  0.4035 -0.8451
  +4.889 +5.191  6  13  139    1.1346  0.1483  0.3370 -0.5863
