{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  13  126    1.0651  0.0431  0.3222 -0.7285
  -4.889 -4.716  6  13  152    1.0845  0.0165  0.3916 -0.9686
  -4.716 -4.538  6  10  167    0.9944 -0.1143 -0.1511 -0.0049
  -4.538 -4.363  6  10  199    0.9552  0.0066  0.0016  0.0003
  -4.363 -4.191  6  9  225    0.9537 -0.0859 -0.1635 -0.0341
  -4.191 -4.013  6  9  275    0.9581 -0.0506 -0.0790 -0.0047
  -4.013 -3.839  6  10  337    0.9385  0.0401  0.1246 -0.0429
  -3.839 -3.664  6  10  405    0.9456  0.0384  0.0883  0.0004
  -3.664 -3.489  6  11  483    0.9464  0.0355  0.1660 -0.0674
  -3.489 -3.314  6  10  585    0.9744  0.0178 -0.0092  0.0011
  -3.314 -3.139  6  10  706    0.9546  0.0541  0.1013 -0.0005
  -3.139 -2.964  6  12  813    0.9130  0.0605  0.3583 -0.2950
  -2.964 -2.853  6  10  827    0.8097  0.0787  0.2393 -0.1769
  -2.853 -2.650  6  2 1030    0.8111  0.0917 -0.2251 -0.2030
  -2.650 -2.500  6  6 1256    0.8412  0.0949 -0.0882 -0.0397
  -2.500 -2.322  6  4 1531    0.9368  0.0280 -0.3176 -0.2867
  -2.322 -2.172  6  5 1846    0.9815  0.0216 -0.3271 -0.2844
  -2.172 -2.043  6  7 2067    0.9585  0.0273 -0.2070 -0.1259
  -2.043 -1.930  6  7 2321    0.9474  0.0393 -0.1679 -0.0881
  -1.930 -1.830  6  7 2544    0.9441  0.0377 -0.1564 -0.0753
  -1.830 -1.740  6  6 2787    0.9574  0.0321 -0.2259 -0.1421
  -1.740 -1.653  6  8 3047    0.9345  0.0519 -0.0874 -0.0241
  -1.653 -1.566  6  8 3288    0.9356  0.0470 -0.0799 -0.0190
  -1.566 -1.479  6  8 3435    0.9318  0.0262 -0.0737 -0.0144
  -1.479 -1.392  6  9 3831    0.9453  0.0365 -0.0132  0.0052
  -1.392 -1.305  6  10 4363    0.9655  0.0567  0.0438 -0.0007
  -1.305 -1.218  6  10 4697    0.9740  0.0505  0.0350  0.0017
  -1.218 -1.131  6  10 4892    0.9741  0.0307  0.0396  0.0002
  -1.131 -1.044  6  10 5152    0.9783  0.0173  0.0170  0.0003
  -1.044 -0.957  6  10 5533    0.9790  0.0196  0.0314 -0.0000
  -0.957 -0.879  6  10 5779    0.9835  0.0094  0.0320 -0.0001
  -0.879 -0.783  6  10 6169    0.9923  0.0043 -0.0041  0.0001
  -0.783 -0.696  6  10 6640    0.9949  0.0132  0.0338  0.0001
  -0.696 -0.609  6  10 6799    1.0059 -0.0072 -0.0271  0.0001
  -0.609 -0.522  6  10 7101    1.0058 -0.0076 -0.0070  0.0000
  -0.522 -0.435  6  10 7423    1.0088 -0.0062 -0.0150 -0.0000
  -0.435 -0.348  6  10 7645    1.0144 -0.0107 -0.0216 -0.0001
  -0.348 -0.261  6  10 7756    1.0129 -0.0157 -0.0097  0.0003
  -0.261 -0.174  6  10 7841    1.0155 -0.0210 -0.0170  0.0004
  -0.174 -0.087  6  11 8110    1.0135 -0.0083  0.0211  0.0009
  -0.087 -0.000  6  11 7918    1.0101 -0.0209  0.0304  0.0019
  +0.000 +0.087  6  11 7918    1.0101 -0.0209  0.0304  0.0019
  +0.087 +0.174  6  11 8110    1.0135 -0.0083  0.0211  0.0009
  +0.174 +0.261  6  10 7841    1.0155 -0.0210 -0.0170  0.0004
  +0.261 +0.348  6  10 7756    1.0129 -0.0157 -0.0097  0.0003
  +0.348 +0.435  6  10 7645    1.0144 -0.0107 -0.0216 -0.0001
  +0.435 +0.522  6  10 7423    1.0088 -0.0062 -0.0150 -0.0000
  +0.522 +0.609  6  10 7101    1.0058 -0.0076 -0.0070  0.0000
  +0.609 +0.696  6  10 6799    1.0059 -0.0072 -0.0271  0.0001
  +0.696 +0.783  6  10 6640    0.9949  0.0132  0.0338  0.0001
  +0.783 +0.879  6  10 6169    0.9923  0.0043 -0.0041  0.0001
  +0.879 +0.957  6  10 5779    0.9835  0.0094  0.0320 -0.0001
  +0.957 +1.044  6  10 5533    0.9790  0.0196  0.0314 -0.0000
  +1.044 +1.131  6  10 5152    0.9783  0.0173  0.0170  0.0003
  +1.131 +1.218  6  10 4892    0.9741  0.0307  0.0396  0.0002
  +1.218 +1.305  6  10 4697    0.9740  0.0505  0.0350  0.0017
  +1.305 +1.392  6  10 4363    0.9655  0.0567  0.0438 -0.0007
  +1.392 +1.479  6  9 3831    0.9453  0.0365 -0.0132  0.0052
  +1.479 +1.566  6  8 3435    0.9318  0.0262 -0.0737 -0.0144
  +1.566 +1.653  6  8 3288    0.9356  0.0470 -0.0799 -0.0190
  +1.653 +1.740  6  8 3047    0.9345  0.0519 -0.0874 -0.0241
  +1.740 +1.830  6  6 2787    0.9574  0.0321 -0.2259 -0.1421
  +1.830 +1.930  6  7 2544    0.9441  0.0377 -0.1564 -0.0753
  +1.930 +2.043  6  7 2321    0.9474  0.0393 -0.1679 -0.0881
  +2.043 +2.172  6  7 2067    0.9585  0.0273 -0.2070 -0.1259
  +2.172 +2.322  6  5 1846    0.9815  0.0216 -0.3271 -0.2844
  +2.322 +2.500  6  4 1531    0.9368  0.0280 -0.3176 -0.2867
  +2.500 +2.650  6  6 1256    0.8412  0.0949 -0.0882 -0.0397
  +2.650 +2.853  6  2 1030    0.8111  0.0917 -0.2251 -0.2030
  +2.853 +2.964  6  10  827    0.8097  0.0787  0.2393 -0.1769
  +2.964 +3.139  6  12  813    0.9130  0.0605  0.3583 -0.2950
  +3.139 +3.314  6  10  706    0.9546  0.0541  0.1013 -0.0005
  +3.314 +3.489  6  10  585    0.9744  0.0178 -0.0092  0.0011
  +3.489 +3.664  6  11  483    0.9464  0.0355  0.1660 -0.0674
  +3.664 +3.839  6  10  405    0.9456  0.0384  0.0883  0.0004
  +3.839 +4.013  6  10  337    0.9385  0.0401  0.1246 -0.0429
  +4.013 +4.191  6  9  275    0.9581 -0.0506 -0.0790 -0.0047
  +4.191 +4.363  6  9  225    0.9537 -0.0859 -0.1635 -0.0341
  +4.363 +4.538  6  10  199    0.9552  0.0066  0.0016  0.0003
  +4.538 +4.716  6  10  167    0.9944 -0.1143 -0.1511 -0.0049
  +4.716 +4.889  6  13  152    1.0845  0.0165  0.3916 -0.9686
  +4.889 +5.191  6  13  126    1.0651  0.0431  0.3222 -0.7285
